idinmueble,dpe,cct1,cct2,cct3,cct4,inmueble,coordinaci,operativa,principal,alcaldia,ciclo,plantel,conserjeri,habitada,exterior,comunes,aula,impermeabi,interior,exterior1,loseta,ventanas,ventanas1,ventanas2,puertas,escaleras,pluviales,techos,uvg,pluvial,chapoteade,alberca,arenero,gimnasio,elevador,inmueble1,operacion,civil,hidrosanit,sanitarios,interior1,desazolve,mamparas,septica,deterioro,agua,concreto,tinacos,cisterna,agua1,luminarias,electrica,transforma,escolar,lamina,deportivos,deportivas,emergencia,accesibili,rejas,perimetral,plantel1,arboles,tocones,arboreos,hojarasca,estudiante,maestros,familia,desconozco,escultura,busto,fuente,arbol,coord_x,coord_y
802087,MH007,09DES0015J,09DES4015K,,,ALBERT EINSTEIN,Coordinación Sectorial de Educación Secundaria,Dirección Operativa de Educación Secundaria No. 1,Secundaria,MIGUEL HIDALGO,2025-2026,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,-99.171901,19.449936
802088,MH008,09DPR1093A,,,,ALBERTO M. ALVARADO,Coordinación Sectorial de Educación Primaria,Dirección Operativa de Educación Primaria No. 1,Primaria,MIGUEL HIDALGO,2025-2026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,-99.229667,19.395406
802089,MH009,09DPR1129Z,,,,ALFREDO BERNARDO NOBEL,Coordinación Sectorial de Educación Primaria,Dirección Operativa de Educación Primaria No. 1,Primaria,MIGUEL HIDALGO,2025-2026,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-99.215024,19.450905
802090,MH010,09DJN0747L,,,,ALTAGRACIA PADILLA,Coordinación Sectorial de Educación Inicial y Preescolar,Dirección Operativa de Educación Preescolar No. 1,Preescolar,MIGUEL HIDALGO,2025-2026,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-99.190453,19.437367
802091,MH011,09DPR1752U,,,,ANGELA PERALTA,Coordinación Sectorial de Educación Primaria,Dirección Operativa de Educación Primaria No. 1,Primaria,MIGUEL HIDALGO,2025-2026,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-99.184623,19.403634
802092,MH012,09DPR1734E,,,,ANTONIO CASO,Coordinación Sectorial de Educación Primaria,Dirección Operativa de Educación Primaria No. 1,Primaria,MIGUEL HIDALGO,2025-2026,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-99.194599,19.442626
802093,MH014,09DPR1748H,,,,AQUILES SERDAN,Coordinación Sectorial de Educación Primaria,Dirección Operativa de Educación Primaria No. 1,Primaria,MIGUEL HIDALGO,2025-2026,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,-99.202488,19.407754
802094,MH015,09DPR1564A,,,,ARBOL DE LA NOCHE TRISTE,Coordinación Sectorial de Educación Primaria,Dirección Operativa de Educación Primaria No. 1,Primaria,MIGUEL HIDALGO,2025-2026,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,-99.176576,19.45639
802095,MH016,09DJN0304R,,,,ARQ. RAMIRO GONZÁLEZ DEL SORDO,Coordinación Sectorial de Educación Inicial y Preescolar,Dirección Operativa de Educación Preescolar No. 1,Preescolar,MIGUEL HIDALGO,2025-2026,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,-99.210414,19.442371
802096,MH017,09DJN0191E,,,,AUSTRIA,Coordinación Sectorial de Educación Inicial y Preescolar,Dirección Operativa de Educación Preescolar No. 1,Preescolar,MIGUEL HIDALGO,2025-2026,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-99.181525,19.454211
